variant,sector,n_trades,win_rate,avg_rr,sharpe
baseline_3R_2xATR,semiconductors,0,,,
baseline_3R_2xATR,regional_banks,0,,,
baseline_3R_2xATR,healthcare,0,,,
baseline_3R_2xATR,consumer_discretionary,0,,,
target_2R,semiconductors,0,,,
target_2R,regional_banks,0,,,
target_2R,healthcare,0,,,
target_2R,consumer_discretionary,0,,,
target_1.5R,semiconductors,0,,,
target_1.5R,regional_banks,0,,,
target_1.5R,healthcare,0,,,
target_1.5R,consumer_discretionary,0,,,
target_1R,semiconductors,0,,,
target_1R,regional_banks,0,,,
target_1R,healthcare,0,,,
target_1R,consumer_discretionary,0,,,
tighter_stop_1.5xATR_3R,semiconductors,0,,,
tighter_stop_1.5xATR_3R,regional_banks,0,,,
tighter_stop_1.5xATR_3R,healthcare,0,,,
tighter_stop_1.5xATR_3R,consumer_discretionary,0,,,
tighter_stop_1.5xATR_2R,semiconductors,0,,,
tighter_stop_1.5xATR_2R,regional_banks,0,,,
tighter_stop_1.5xATR_2R,healthcare,0,,,
tighter_stop_1.5xATR_2R,consumer_discretionary,0,,,
tighter_stop_1xATR_1.5R,semiconductors,0,,,
tighter_stop_1xATR_1.5R,regional_banks,0,,,
tighter_stop_1xATR_1.5R,healthcare,0,,,
tighter_stop_1xATR_1.5R,consumer_discretionary,0,,,
