modifier,bucket,n_trades,win_rate,avg_rr
regime_modifier,negative,254,0.4567,1.49
regime_modifier,zero,0,,
regime_modifier,positive,1249,0.5228,1.37
seasonality_modifier,negative,370,0.5622,1.51
seasonality_modifier,zero,653,0.4809,1.32
seasonality_modifier,positive,480,0.5146,1.37
macro_modifier,negative,94,0.5106,1.32
macro_modifier,zero,943,0.5027,1.34
macro_modifier,positive,466,0.53,1.49
sector_rotation_modifier,negative,49,0.3878,1.33
sector_rotation_modifier,zero,937,0.5229,1.31
sector_rotation_modifier,positive,517,0.5029,1.55
