ticker,result_id,technical_total,sentiment_total
NVDA,1,20.71,1.94
AMD,2,16.16,0.05
AVGO,3,16.61,3.11
TSM,4,16.87,8.45
MU,5,13.03,10.72
ASML,6,22.92,0.3
NVDA,7,20.71,1.87
AMD,8,16.16,3.4
AVGO,9,16.61,2.66
TSM,10,16.87,4.87
MU,11,13.03,5.57
ASML,12,22.92,1.57
ZION,13,23.66,6.0
KEY,14,22.62,6.64
HBAN,15,27.94,5.0
RF,16,29.07,10.5
FITB,17,26.28,6.03
NVDA,18,18.8,1.4
AMD,19,18.44,9.74
AVGO,20,15.72,3.06
TSM,21,13.64,4.17
MU,22,10.52,6.5
ASML,23,20.77,1.74
ZION,24,24.68,6.0
KEY,25,19.69,6.0
HBAN,26,23.28,5.0
RF,27,27.79,10.5
FITB,28,23.78,7.12
NVDA,29,17.62,2.64
AMD,30,20.1,9.25
AVGO,31,16.89,1.72
TSM,32,15.19,3.47
MU,33,11.67,6.97
ASML,34,21.89,2.08
ZION,35,28.23,6.5
KEY,36,23.48,6.0
HBAN,37,25.19,2.5
RF,38,29.24,13.0
FITB,39,24.87,7.12
NVDA,40,17.65,5.8
AMD,41,20.13,11.27
AVGO,42,17.07,3.09
TSM,43,15.45,2.75
MU,44,11.79,6.56
ASML,45,21.95,5.38
ZION,46,28.23,8.0
KEY,47,23.48,5.5
HBAN,48,25.26,3.5
RF,49,29.24,7.03
FITB,50,25.66,7.0
NVDA,51,18.54,1.4
AMD,52,20.52,3.03
AVGO,53,16.68,3.55
TSM,54,16.48,3.45
MU,55,17.73,6.87
ASML,56,22.73,6.85
ZION,57,18.61,8.0
KEY,58,18.99,8.0
HBAN,59,24.51,0.0
RF,60,25.02,6.31
FITB,61,23.19,7.12
NVDA,62,20.71,1.87
AMD,63,23.08,4.87
AVGO,64,18.28,6.8
TSM,65,18.84,3.09
MU,66,21.6,7.57
ASML,67,24.04,3.44
ZION,68,20.28,3.0
KEY,69,18.4,6.5
HBAN,70,26.46,0.0
RF,71,25.99,6.31
FITB,72,24.25,7.12
NVDA,73,20.81,1.63
AMD,74,23.31,3.8
AVGO,75,18.44,2.39
TSM,76,18.84,2.18
MU,77,21.71,6.5
ASML,78,24.08,1.58
ZION,79,20.28,7.5
KEY,80,18.4,6.5
HBAN,81,26.46,0.0
RF,82,26.49,7.0
FITB,83,24.84,9.03
NVDA,84,22.64,3.5
AMD,85,22.74,10.1
AVGO,86,18.1,2.57
TSM,87,15.53,2.8
MU,88,19.73,6.9
ASML,89,22.4,0.85
ZION,90,19.26,7.5
KEY,91,16.28,6.35
HBAN,92,24.2,3.5
RF,93,24.88,7.0
FITB,94,23.52,6.0
NVDA,95,25.84,9.14
AMD,96,24.64,9.63
AVGO,97,19.91,8.97
TSM,98,16.62,2.8
MU,99,20.54,3.59
ASML,100,23.04,0.85
ZION,101,21.51,13.5
KEY,102,21.92,6.35
HBAN,103,26.71,3.5
RF,104,26.74,7.0
FITB,105,24.04,6.0
NVDA,106,17.97,9.07
AMD,107,21.96,5.1
AVGO,108,18.01,8.27
TSM,109,14.76,1.35
MU,110,19.82,3.53
ASML,111,22.59,0.85
ZION,112,17.85,13.5
KEY,113,16.74,6.35
HBAN,114,17.79,5.3
RF,115,20.32,4.5
FITB,116,21.51,6.0
NVDA,117,18.14,3.74
AMD,118,20.31,3.7
AVGO,119,18.2,7.8
TSM,120,15.17,1.4
MU,121,20.32,3.0
ASML,122,22.83,0.85
ZION,123,18.32,15.0
KEY,124,17.05,6.35
HBAN,125,18.95,5.3
RF,126,22.81,4.5
FITB,127,21.48,3.5
NVDA,128,20.57,3.11
AMD,129,22.67,10.33
AVGO,130,19.74,8.85
TSM,131,16.33,1.4
MU,132,21.62,5.49
ASML,133,23.49,3.74
ZION,134,22.3,9.53
KEY,135,19.25,6.35
HBAN,136,20.81,0.5
RF,137,24.47,4.5
FITB,138,24.51,3.5
NVDA,139,18.7,5.1
AMD,140,20.14,9.17
AVGO,141,16.42,2.46
TSM,142,13.57,1.98
MU,143,12.19,4.21
ASML,144,20.47,2.77
ZION,145,16.8,9.0
KEY,146,15.41,11.13
HBAN,147,16.04,10.33
RF,148,21.62,4.5
FITB,149,22.68,3.5
NVDA,150,20.73,4.63
AMD,151,20.79,9.63
AVGO,152,16.54,2.52
TSM,153,13.69,1.92
MU,154,12.58,4.45
ASML,155,22.73,7.48
ZION,156,18.82,9.0
KEY,157,15.55,11.13
HBAN,158,19.27,9.0
RF,159,23.89,4.5
FITB,160,22.82,3.5
NVDA,161,21.39,2.33
AMD,162,22.96,1.63
AVGO,163,18.13,4.3
TSM,164,15.26,4.63
MU,165,14.32,5.8
ASML,166,21.76,9.87
ZION,167,20.44,9.53
KEY,168,16.82,11.13
HBAN,169,20.11,10.33
RF,170,25.19,4.5
FITB,171,24.17,3.5
NVDA,172,18.12,8.27
AMD,173,18.99,6.78
AVGO,174,17.58,12.43
TSM,175,16.04,4.01
MU,176,18.59,3.7
ASML,177,18.0,7.08
ZION,178,18.16,9.0
KEY,179,14.92,8.1
HBAN,180,17.2,8.86
RF,181,18.06,4.5
FITB,182,19.78,6.0
NVDA,183,15.44,7.8
AMD,184,12.04,7.8
AVGO,185,17.21,9.87
TSM,186,14.73,4.33
MU,187,10.97,5.68
ASML,188,15.67,8.47
ZION,189,19.14,9.0
KEY,190,13.25,15.0
HBAN,191,16.86,7.25
RF,192,21.64,4.5
FITB,193,22.58,3.5
NVDA,194,18.3,9.4
AMD,195,16.22,8.68
AVGO,196,18.75,12.67
TSM,197,17.05,5.8
MU,198,14.97,8.53
ASML,199,15.88,9.17
ZION,200,18.65,6.5
KEY,201,14.87,15.0
HBAN,202,17.76,8.47
RF,203,23.31,4.5
FITB,204,24.08,3.5
NVDA,205,18.3,9.63
AMD,206,16.22,7.31
AVGO,207,18.75,12.43
TSM,208,17.05,6.25
MU,209,14.97,7.6
ASML,210,15.88,9.17
ZION,211,18.65,6.5
KEY,212,14.87,15.0
HBAN,213,17.76,8.47
RF,214,23.31,4.5
FITB,215,24.08,3.5
