col_a,col_b,n,pearson_r,spearman_rho,tail_lift,flagged
fundamental_score,regime_modifier,676,-0.492,-0.453,0.0,False
regime_modifier,sector_rotation_modifier,676,0.407,0.397,1.3534,False
news_total,regime_modifier,676,-0.4,-0.308,0.6528,False
news_total,sector_rotation_modifier,676,-0.383,-0.311,0.8018,False
fundamental_score,sector_rotation_modifier,676,-0.379,-0.389,0.5793,False
seasonality_modifier,technical_total,676,-0.369,-0.397,0.3545,False
regime_modifier,technical_total,676,0.359,0.41,1.4912,False
fundamental_score,technical_total,676,-0.297,-0.328,0.5625,False
seasonality_modifier,sentiment_total,676,-0.283,-0.291,0.7614,False
fundamental_score,news_total,676,0.275,0.244,1.1317,False
regime_modifier,seasonality_modifier,676,-0.267,-0.327,0.8767,False
sector_rotation_modifier,technical_total,676,0.258,0.288,1.1195,False
earnings_modifier,fundamental_score,676,0.204,0.277,1.2519,False
positioning_total,seasonality_modifier,676,-0.196,-0.186,0.8192,False
seasonality_modifier,sector_rotation_modifier,676,0.188,0.217,1.0823,False
positioning_total,technical_total,676,-0.18,-0.147,0.8604,False
positioning_total,sector_rotation_modifier,676,-0.171,-0.165,0.8458,False
cross_ticker_modifier,fundamental_score,676,0.144,0.079,1.034,False
earnings_modifier,news_total,676,-0.136,-0.192,0.8667,False
earnings_modifier,positioning_total,676,0.128,0.028,0.9224,False
regime_modifier,sentiment_total,676,0.119,0.131,0.9722,False
positioning_total,regime_modifier,676,-0.113,-0.039,0.6451,False
cross_ticker_modifier,regime_modifier,676,-0.106,-0.034,0.9594,False
news_total,technical_total,676,-0.095,-0.098,0.9412,False
sentiment_total,technical_total,676,0.094,0.095,1.6471,True
cross_ticker_modifier,technical_total,676,0.087,0.12,0.9926,False
fundamental_score,positioning_total,676,0.078,-0.042,1.0413,False
earnings_modifier,sentiment_total,676,0.072,0.031,0.9556,False
sector_rotation_modifier,sentiment_total,676,-0.071,-0.091,0.8649,False
earnings_modifier,sector_rotation_modifier,676,-0.067,-0.068,0.9868,False
cross_ticker_modifier,news_total,676,-0.064,-0.08,0.9797,False
cross_ticker_modifier,sector_rotation_modifier,676,0.056,0.078,1.0118,False
cross_ticker_modifier,seasonality_modifier,676,0.056,0.001,1.0165,False
earnings_modifier,technical_total,676,-0.051,-0.072,0.9499,False
positioning_total,sentiment_total,676,0.039,0.047,0.7251,False
cross_ticker_modifier,positioning_total,676,0.038,0.036,1.0299,False
fundamental_score,seasonality_modifier,676,0.036,0.027,1.0965,False
news_total,sentiment_total,676,0.034,0.055,1.0651,False
news_total,seasonality_modifier,676,-0.032,-0.015,1.0313,False
news_total,positioning_total,676,0.031,0.002,1.0292,False
earnings_modifier,regime_modifier,676,0.023,0.033,1.0128,False
earnings_modifier,seasonality_modifier,676,0.018,-0.017,0.9894,False
fundamental_score,sentiment_total,676,-0.015,0.008,1.0146,False
cross_ticker_modifier,sentiment_total,676,0.013,0.047,1.0047,False
cross_ticker_modifier,earnings_modifier,676,-0.01,-0.014,1.0097,False
cross_ticker_modifier,macro_modifier,676,0.0,0.0,1.0,False
earnings_modifier,macro_modifier,676,0.0,0.0,1.0,False
fundamental_score,macro_modifier,676,0.0,0.0,1.0,False
macro_modifier,sentiment_total,676,0.0,0.0,1.0,False
macro_modifier,technical_total,676,0.0,0.0,1.0,False
macro_modifier,sector_rotation_modifier,676,0.0,0.0,1.0,False
macro_modifier,news_total,676,0.0,0.0,1.0,False
macro_modifier,positioning_total,676,0.0,0.0,1.0,False
macro_modifier,regime_modifier,676,0.0,0.0,1.0,False
macro_modifier,seasonality_modifier,676,0.0,0.0,1.0,False
